Context;Instance;Reference;en;fr;it;pt;nb
ReportViewName;"\Samples\Charts Gallery - Advanced.srex";"Model Container";;;;;
ReportViewName;"\Samples\Charts Gallery - Advanced.srex";"Chart JS";;;;;
ReportViewName;"\Samples\Charts Gallery - Advanced.srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\Charts Gallery - Advanced.srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\Charts Gallery - Advanced.srex";"MIX BAR - LINE - 2 Y Axis";;;;;
ReportViewName;"\Samples\Charts Gallery - Advanced.srex";"Model Container";;;;;
ReportViewName;"\Samples\Charts Gallery - Advanced.srex";"Chart JS";;;;;
ReportViewName;"\Samples\Charts Gallery - Advanced.srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\Charts Gallery - Advanced.srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\Charts Gallery - Advanced.srex";"DATE TIME VALUES";;;;;
ReportViewName;"\Samples\Charts Gallery - Advanced.srex";"Model Container";;;;;
ReportViewName;"\Samples\Charts Gallery - Advanced.srex";"Chart JS";;;;;
ReportViewName;"\Samples\Charts Gallery - Advanced.srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\Charts Gallery - Advanced.srex";"Chart Plotly";;;;;
ReportDisplayName;"\Samples\Charts Gallery - Basics.srex";"Charts Gallery - Basics";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"view";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"BAR";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Model Container";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart JS";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"LINE";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Model Container";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart JS";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"SCATTER";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Model Container";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart JS";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"PIE";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Model Container";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart JS";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"BAR - multiple";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Model Container";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart JS";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"LINE - multiple";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Model Container";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart JS";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"SCATTER - multiple";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Model Container";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart JS";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"SCATTER - time axis";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Model Container";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart JS";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"SCATTER - numeric axis";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Model Container";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart JS";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"BAR - secondary Y Axis";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Model Container";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart JS";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"LINE - secondary Y Axis";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Model Container";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart JS";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"BAR - multiple - horizontal";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Model Container";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart JS";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart NVD3";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Chart Plotly";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"CSV";;;;;
ReportViewName;"\Samples\Charts Gallery - Basics.srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\01-Simple list (Products) 2.srex";"01-Simple list (Products) 2";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"view";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"BAR";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"Model Container";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"Chart NVD3";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"Chart JS";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"Chart Plotly";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"PIE";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"Model Container";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"Chart NVD3";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"Chart JS";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"Chart Plotly";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"SCATTER";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"Model Container";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"Chart NVD3";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"Chart JS";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"Chart Plotly";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"LINE";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"Model Container";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"Chart NVD3";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"Chart JS";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"Chart Plotly";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"view Excel";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"Model CSV Excel View";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"CSV";;;;;
ReportViewName;"\work\01-Simple list (Products) 2.srex";"Model CSV Excel View";;;;;
ReportOutputName;"\work\01-Simple list (Products) 2.srex";"output (Folder Device)";;;;;
ReportOutputName;"\work\01-Simple list (Products) 2.srex";"excel";;;;;
ReportOutputName;"\work\01-Simple list (Products) 2.srex";"pdf";;;;;
ReportOutputName;"\work\01-Simple list (Products) 2.srex";"print";;;;;
ReportDisplayName;"\work\01-Simple list (Products) Error.srex";"01-Simple list (Products) Error";;;;;
ReportViewName;"\work\01-Simple list (Products) Error.srex";"view";;;;;
ReportViewName;"\work\01-Simple list (Products) Error.srex";"Model HTML View";;;;;
ReportViewName;"\work\01-Simple list (Products) Error.srex";"Model Container";;;;;
ReportViewName;"\work\01-Simple list (Products) Error.srex";"Page Table";;;;;
ReportViewName;"\work\01-Simple list (Products) Error.srex";"Chart JS";;;;;
ReportViewName;"\work\01-Simple list (Products) Error.srex";"Chart NVD3";;;;;
ReportViewName;"\work\01-Simple list (Products) Error.srex";"Chart Plotly";;;;;
ReportViewName;"\work\01-Simple list (Products) Error.srex";"Data Table";;;;;
ReportViewName;"\work\01-Simple list (Products) Error.srex";"view Excel";;;;;
ReportViewName;"\work\01-Simple list (Products) Error.srex";"Model CSV Excel View";;;;;
ReportOutputName;"\work\01-Simple list (Products) Error.srex";"output (Folder Device)";;;;;
ReportDisplayName;"\work\21-SQL Server Stored Procedure2.srex";"21-SQL Server Stored Procedure2";;;;;
ReportViewName;"\work\21-SQL Server Stored Procedure2.srex";"view";;;;;
ReportViewName;"\work\21-SQL Server Stored Procedure2.srex";"Model HTML View";;;;;
ReportViewName;"\work\21-SQL Server Stored Procedure2.srex";"Model Container";;;;;
ReportViewName;"\work\21-SQL Server Stored Procedure2.srex";"Page Table";;;;;
ReportViewName;"\work\21-SQL Server Stored Procedure2.srex";"Chart JS";;;;;
ReportViewName;"\work\21-SQL Server Stored Procedure2.srex";"Chart NVD3";;;;;
ReportViewName;"\work\21-SQL Server Stored Procedure2.srex";"Chart Plotly";;;;;
ReportViewName;"\work\21-SQL Server Stored Procedure2.srex";"Data Table";;;;;
ReportDisplayName;"\work\big sort render.srex";"big sort render";;;;;
ReportViewName;"\work\big sort render.srex";"view";;;;;
ReportViewName;"\work\big sort render.srex";"Model HTML";;;;;
ReportViewName;"\work\big sort render.srex";"Model Container";;;;;
ReportViewName;"\work\big sort render.srex";"Page Table";;;;;
ReportViewName;"\work\big sort render.srex";"Chart JS";;;;;
ReportViewName;"\work\big sort render.srex";"Chart NVD3";;;;;
ReportViewName;"\work\big sort render.srex";"Chart Plotly";;;;;
ReportViewName;"\work\big sort render.srex";"Data Table";;;;;
ReportViewName;"\work\big sort render.srex";"CSV";;;;;
ReportViewName;"\work\big sort render.srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\blank.srex";"blank";;;;;
ReportViewName;"\work\blank.srex";"view";;;;;
ReportViewName;"\work\blank.srex";"Model HTML";;;;;
ReportViewName;"\work\blank.srex";"Model Container";;;;;
ReportViewName;"\work\blank.srex";"Page Table";;;;;
ReportViewName;"\work\blank.srex";"Chart JS";;;;;
ReportViewName;"\work\blank.srex";"Chart NVD3";;;;;
ReportViewName;"\work\blank.srex";"Chart Plotly";;;;;
ReportViewName;"\work\blank.srex";"Data Table";;;;;
ReportViewName;"\work\blank.srex";"CSV";;;;;
ReportViewName;"\work\blank.srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\bug 97.srex";"bug 97";;;;;
ReportViewName;"\work\bug 97.srex";"Dashboard";;;;;
ReportViewName;"\work\bug 97.srex";"Open HTML View";;;;;
ReportViewName;"\work\bug 97.srex";"Model HTML View";;;;;
ReportViewName;"\work\bug 97.srex";"Model Container";;;;;
ReportViewName;"\work\bug 97.srex";"Page Table";;;;;
ReportViewName;"\work\bug 97.srex";"Chart JS";;;;;
ReportViewName;"\work\bug 97.srex";"Chart NVD3";;;;;
ReportViewName;"\work\bug 97.srex";"Chart Plotly";;;;;
ReportViewName;"\work\bug 97.srex";"Data Table";;;;;
ReportOutputName;"\work\bug 97.srex";"HTML File";;;;;
ReportDisplayName;"\work\bug chart MS2 34.srex";"bug chart MS2 34";;;;;
ReportViewName;"\work\bug chart MS2 34.srex";"view";;;;;
ReportViewName;"\work\bug chart MS2 34.srex";"Model HTML View";;;;;
ReportViewName;"\work\bug chart MS2 34.srex";"Model Container";;;;;
ReportViewName;"\work\bug chart MS2 34.srex";"Page Table";;;;;
ReportViewName;"\work\bug chart MS2 34.srex";"Chart JS";;;;;
ReportViewName;"\work\bug chart MS2 34.srex";"Chart NVD3";;;;;
ReportViewName;"\work\bug chart MS2 34.srex";"Chart Plotly";;;;;
ReportViewName;"\work\bug chart MS2 34.srex";"Data Table";;;;;
ReportViewName;"\work\bug chart MS2 34.srex";"CSV";;;;;
ReportViewName;"\work\bug chart MS2 34.srex";"Model CSV Excel View";;;;;
ReportViewName;"\work\bug chart MS2 34.srex";"view2";;;;;
ReportViewName;"\work\bug chart MS2 34.srex";"Open HTML View";;;;;
ReportOutputName;"\work\bug chart MS2 34.srex";"output (Folder Device)";;;;;
ReportDisplayName;"\work\bug date input.srex";"bug date input";;;;;
ReportViewName;"\work\bug date input.srex";"view";;;;;
ReportViewName;"\work\bug date input.srex";"Model HTML";;;;;
ReportViewName;"\work\bug date input.srex";"Model Container";;;;;
ReportViewName;"\work\bug date input.srex";"Page Table";;;;;
ReportViewName;"\work\bug date input.srex";"Chart JS";;;;;
ReportViewName;"\work\bug date input.srex";"Chart NVD3";;;;;
ReportViewName;"\work\bug date input.srex";"Chart Plotly";;;;;
ReportViewName;"\work\bug date input.srex";"Data Table";;;;;
ReportViewName;"\work\bug date input.srex";"CSV";;;;;
ReportViewName;"\work\bug date input.srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\bug load models.srex";"bug load models";;;;;
ReportViewName;"\work\bug load models.srex";"view";;;;;
ReportViewName;"\work\bug load models.srex";"Model HTML View";;;;;
ReportViewName;"\work\bug load models.srex";"Model Container";;;;;
ReportViewName;"\work\bug load models.srex";"Chart NVD3";;;;;
ReportViewName;"\work\bug load models.srex";"Chart JS";;;;;
ReportViewName;"\work\bug load models.srex";"Chart Plotly";;;;;
ReportViewName;"\work\bug load models.srex";"Model HTML";;;;;
ReportViewName;"\work\bug load models.srex";"Model Container";;;;;
ReportViewName;"\work\bug load models.srex";"Chart NVD3";;;;;
ReportViewName;"\work\bug load models.srex";"Chart JS";;;;;
ReportViewName;"\work\bug load models.srex";"Chart Plotly";;;;;
ReportViewName;"\work\bug load models.srex";"Model HTML - Copy";;;;;
ReportViewName;"\work\bug load models.srex";"Model Container";;;;;
ReportViewName;"\work\bug load models.srex";"Chart NVD3";;;;;
ReportViewName;"\work\bug load models.srex";"Chart JS";;;;;
ReportViewName;"\work\bug load models.srex";"Chart Plotly";;;;;
ReportViewName;"\work\bug load models.srex";"view Excel";;;;;
ReportViewName;"\work\bug load models.srex";"Model CSV Excel View";;;;;
ReportViewName;"\work\bug load models.srex";"CSV";;;;;
ReportViewName;"\work\bug load models.srex";"Model CSV Excel View";;;;;
ReportOutputName;"\work\bug load models.srex";"output (Folder Device)";;;;;
ReportDisplayName;"\work\bug pdf 46.srex";"bug pdf 46";;;;;
ReportViewName;"\work\bug pdf 46.srex";"view";;;;;
ReportViewName;"\work\bug pdf 46.srex";"Model HTML View";;;;;
ReportViewName;"\work\bug pdf 46.srex";"Model Container";;;;;
ReportViewName;"\work\bug pdf 46.srex";"Page Table";;;;;
ReportViewName;"\work\bug pdf 46.srex";"Chart JS";;;;;
ReportViewName;"\work\bug pdf 46.srex";"Chart NVD3";;;;;
ReportViewName;"\work\bug pdf 46.srex";"Chart Plotly";;;;;
ReportViewName;"\work\bug pdf 46.srex";"Data Table";;;;;
ReportViewName;"\work\bug pdf 46.srex";"CSV";;;;;
ReportViewName;"\work\bug pdf 46.srex";"Model CSV Excel View";;;;;
ReportOutputName;"\work\bug pdf 46.srex";"output (Folder Device)";;;;;
ReportDisplayName;"\work\bug translate.srex";"bug translate";;;;;
ReportViewName;"\work\bug translate.srex";"Orders";;;;;
ReportViewName;"\work\bug translate.srex";"Model HTML View";;;;;
ReportViewName;"\work\bug translate.srex";"Model Container";;;;;
ReportViewName;"\work\bug translate.srex";"Page Table";;;;;
ReportViewName;"\work\bug translate.srex";"Chart JS";;;;;
ReportViewName;"\work\bug translate.srex";"Chart NVD3";;;;;
ReportViewName;"\work\bug translate.srex";"Chart Plotly";;;;;
ReportViewName;"\work\bug translate.srex";"Data Table";;;;;
ReportViewName;"\work\bug translate.srex";"Open HTML View";;;;;
ReportViewName;"\work\bug translate.srex";"Excel";;;;;
ReportViewName;"\work\bug translate.srex";"Model CSV Excel View";;;;;
ReportDisplayName;"\work\Cell Script Samples.srex";"Cell Script Samples";;;;;
ReportViewName;"\work\Cell Script Samples.srex";"view";;;;;
ReportViewName;"\work\Cell Script Samples.srex";"Model HTML";;;;;
ReportViewName;"\work\Cell Script Samples.srex";"Model Container";;;;;
ReportViewName;"\work\Cell Script Samples.srex";"Page Table";;;;;
ReportViewName;"\work\Cell Script Samples.srex";"Chart JS";;;;;
ReportViewName;"\work\Cell Script Samples.srex";"Chart NVD3";;;;;
ReportViewName;"\work\Cell Script Samples.srex";"Chart Plotly";;;;;
ReportViewName;"\work\Cell Script Samples.srex";"Data Table";;;;;
ReportViewName;"\work\Cell Script Samples.srex";"CSV";;;;;
ReportViewName;"\work\Cell Script Samples.srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\Charts Samples.srex";"Charts Samples";;;;;
ReportViewName;"\work\Charts Samples.srex";"view";;;;;
ReportViewName;"\work\Charts Samples.srex";"BAR";;;;;
ReportViewName;"\work\Charts Samples.srex";"Model Container";;;;;
ReportViewName;"\work\Charts Samples.srex";"Chart NVD3";;;;;
ReportViewName;"\work\Charts Samples.srex";"Chart JS";;;;;
ReportViewName;"\work\Charts Samples.srex";"Chart Plotly";;;;;
ReportViewName;"\work\Charts Samples.srex";"PIE";;;;;
ReportViewName;"\work\Charts Samples.srex";"Model Container";;;;;
ReportViewName;"\work\Charts Samples.srex";"Chart NVD3";;;;;
ReportViewName;"\work\Charts Samples.srex";"Chart JS";;;;;
ReportViewName;"\work\Charts Samples.srex";"Chart Plotly";;;;;
ReportViewName;"\work\Charts Samples.srex";"SCATTER";;;;;
ReportViewName;"\work\Charts Samples.srex";"Model Container";;;;;
ReportViewName;"\work\Charts Samples.srex";"Chart NVD3";;;;;
ReportViewName;"\work\Charts Samples.srex";"Chart JS";;;;;
ReportViewName;"\work\Charts Samples.srex";"Chart Plotly";;;;;
ReportViewName;"\work\Charts Samples.srex";"LINE";;;;;
ReportViewName;"\work\Charts Samples.srex";"Model Container";;;;;
ReportViewName;"\work\Charts Samples.srex";"Chart NVD3";;;;;
ReportViewName;"\work\Charts Samples.srex";"Chart JS";;;;;
ReportViewName;"\work\Charts Samples.srex";"Chart Plotly";;;;;
ReportViewName;"\work\Charts Samples.srex";"view Excel";;;;;
ReportViewName;"\work\Charts Samples.srex";"Model CSV Excel View";;;;;
ReportViewName;"\work\Charts Samples.srex";"CSV";;;;;
ReportViewName;"\work\Charts Samples.srex";"Model CSV Excel View";;;;;
ReportOutputName;"\work\Charts Samples.srex";"output (Folder Device)";;;;;
ReportDisplayName;"\work\Dashboard - Sales Error.srex";"Dashboard - Sales Error";;;;;
ReportViewName;"\work\Dashboard - Sales Error.srex";"Dashboard";;;;;
ReportViewName;"\work\Dashboard - Sales Error.srex";"Tab Control View";;;;;
ReportViewName;"\work\Dashboard - Sales Error.srex";"Category";;;;;
ReportViewName;"\work\Dashboard - Sales Error.srex";"Container View";;;;;
ReportViewName;"\work\Dashboard - Sales Error.srex";"chart1";;;;;
ReportViewName;"\work\Dashboard - Sales Error.srex";"Chart NVD3";;;;;
ReportViewName;"\work\Dashboard - Sales Error.srex";"General";;;;;
ReportViewName;"\work\Dashboard - Sales Error.srex";"Container View";;;;;
ReportViewName;"\work\Dashboard - Sales Error.srex";"chart amount";;;;;
ReportViewName;"\work\Dashboard - Sales Error.srex";"Chart NVD3";;;;;
ReportOutputName;"\work\Dashboard - Sales Error.srex";"HTML File";;;;;
ReportDisplayName;"\work\Grid1.srex";"Grid1";;;;;
ReportViewName;"\work\Grid1.srex";"view";;;;;
ReportViewName;"\work\Grid1.srex";"Container";;;;;
ReportViewName;"\work\Grid1.srex";"Text1";;;;;
ReportViewName;"\work\Grid1.srex";"Text2";;;;;
ReportViewName;"\work\Grid1.srex";"Text3";;;;;
ReportViewName;"\work\Grid1.srex";"Text4";;;;;
ReportViewName;"\work\Grid1.srex";"Text5";;;;;
ReportViewName;"\work\Grid1.srex";"Model Table";;;;;
ReportViewName;"\work\Grid1.srex";"Data Table";;;;;
ReportViewName;"\work\Grid1.srex";"Container";;;;;
ReportViewName;"\work\Grid1.srex";"Text6";;;;;
ReportViewName;"\work\Grid1.srex";"Text7";;;;;
ReportViewName;"\work\Grid1.srex";"CSV";;;;;
ReportViewName;"\work\Grid1.srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\mobile.srex";"mobile";;;;;
ReportViewName;"\work\mobile.srex";"view";;;;;
ReportViewName;"\work\mobile.srex";"Model HTML View";;;;;
ReportViewName;"\work\mobile.srex";"Model Container";;;;;
ReportViewName;"\work\mobile.srex";"Page Table";;;;;
ReportViewName;"\work\mobile.srex";"Chart JS";;;;;
ReportViewName;"\work\mobile.srex";"Chart NVD3";;;;;
ReportViewName;"\work\mobile.srex";"Chart Plotly";;;;;
ReportViewName;"\work\mobile.srex";"Data Table";;;;;
ReportDisplayName;"\work\New report.srex";"New report";;;;;
ReportViewName;"\work\New report.srex";"view";;;;;
ReportViewName;"\work\New report.srex";"Model HTML";;;;;
ReportViewName;"\work\New report.srex";"Model Container";;;;;
ReportViewName;"\work\New report.srex";"Page Table";;;;;
ReportViewName;"\work\New report.srex";"Chart JS";;;;;
ReportViewName;"\work\New report.srex";"Chart NVD3";;;;;
ReportViewName;"\work\New report.srex";"Chart Plotly";;;;;
ReportViewName;"\work\New report.srex";"Data Table";;;;;
ReportViewName;"\work\New report.srex";"CSV";;;;;
ReportViewName;"\work\New report.srex";"Model CSV Excel";;;;;
ReportOutputName;"\work\New report.srex";"Output (Folder Device)";;;;;
ReportDisplayName;"\work\Nouveau rapport.srex";"Nouveau rapport";;;;;
ReportViewName;"\work\Nouveau rapport.srex";"view";;;;;
ReportViewName;"\work\Nouveau rapport.srex";"Model HTML";;;;;
ReportViewName;"\work\Nouveau rapport.srex";"Model Container";;;;;
ReportViewName;"\work\Nouveau rapport.srex";"Page Table";;;;;
ReportViewName;"\work\Nouveau rapport.srex";"Chart JS";;;;;
ReportViewName;"\work\Nouveau rapport.srex";"Chart NVD3";;;;;
ReportViewName;"\work\Nouveau rapport.srex";"Chart Plotly";;;;;
ReportViewName;"\work\Nouveau rapport.srex";"Data Table";;;;;
ReportViewName;"\work\Nouveau rapport.srex";"CSV";;;;;
ReportViewName;"\work\Nouveau rapport.srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\Simple.srex";"Simple";;;;;
ReportViewName;"\work\Simple.srex";"view";;;;;
ReportViewName;"\work\Simple.srex";"Model HTML";;;;;
ReportViewName;"\work\Simple.srex";"Model Container";;;;;
ReportViewName;"\work\Simple.srex";"Page Table";;;;;
ReportViewName;"\work\Simple.srex";"Chart JS";;;;;
ReportViewName;"\work\Simple.srex";"Chart NVD3";;;;;
ReportViewName;"\work\Simple.srex";"Chart Plotly";;;;;
ReportViewName;"\work\Simple.srex";"Data Table";;;;;
ReportViewName;"\work\Simple.srex";"CSV";;;;;
ReportViewName;"\work\Simple.srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\test chart numeric axis.srex";"test chart numeric axis";;;;;
ReportViewName;"\work\test chart numeric axis.srex";"view";;;;;
ReportViewName;"\work\test chart numeric axis.srex";"Model HTML View";;;;;
ReportViewName;"\work\test chart numeric axis.srex";"Model Container";;;;;
ReportViewName;"\work\test chart numeric axis.srex";"Page Table";;;;;
ReportViewName;"\work\test chart numeric axis.srex";"Data Table";;;;;
ReportViewName;"\work\test chart numeric axis.srex";"Chart JS";;;;;
ReportViewName;"\work\test chart numeric axis.srex";"view Excel";;;;;
ReportViewName;"\work\test chart numeric axis.srex";"Model CSV Excel View";;;;;
ReportViewName;"\work\test chart numeric axis.srex";"CSV";;;;;
ReportViewName;"\work\test chart numeric axis.srex";"Model CSV Excel View";;;;;
ReportOutputName;"\work\test chart numeric axis.srex";"output (Folder Device)";;;;;
ReportDisplayName;"\work\test chart.srex";"test chart";;;;;
ReportViewName;"\work\test chart.srex";"view";;;;;
ReportViewName;"\work\test chart.srex";"Model HTML View";;;;;
ReportViewName;"\work\test chart.srex";"Model Container";;;;;
ReportViewName;"\work\test chart.srex";"Page Table";;;;;
ReportViewName;"\work\test chart.srex";"Data Table";;;;;
ReportViewName;"\work\test chart.srex";"Chart JS";;;;;
ReportViewName;"\work\test chart.srex";"Chart NVD3";;;;;
ReportViewName;"\work\test chart.srex";"Chart Plotly";;;;;
ReportViewName;"\work\test chart.srex";"view Excel";;;;;
ReportViewName;"\work\test chart.srex";"Model CSV Excel View";;;;;
ReportViewName;"\work\test chart.srex";"CSV";;;;;
ReportViewName;"\work\test chart.srex";"Model CSV Excel View";;;;;
ReportOutputName;"\work\test chart.srex";"output (Folder Device)";;;;;
ReportDisplayName;"\work\test chart2.srex";"test chart2";;;;;
ReportViewName;"\work\test chart2.srex";"view";;;;;
ReportViewName;"\work\test chart2.srex";"Model HTML View";;;;;
ReportViewName;"\work\test chart2.srex";"Model Container";;;;;
ReportViewName;"\work\test chart2.srex";"Page Table";;;;;
ReportViewName;"\work\test chart2.srex";"Data Table";;;;;
ReportViewName;"\work\test chart2.srex";"Chart JS";;;;;
ReportViewName;"\work\test chart2.srex";"Chart NVD3";;;;;
ReportViewName;"\work\test chart2.srex";"Chart Plotly";;;;;
ReportViewName;"\work\test chart2.srex";"view Excel";;;;;
ReportViewName;"\work\test chart2.srex";"Model CSV Excel View";;;;;
ReportViewName;"\work\test chart2.srex";"CSV";;;;;
ReportViewName;"\work\test chart2.srex";"Model CSV Excel View";;;;;
ReportOutputName;"\work\test chart2.srex";"output (Folder Device)";;;;;
ReportDisplayName;"\work\test date sort.srex";"test date sort";;;;;
ReportViewName;"\work\test date sort.srex";"view";;;;;
ReportViewName;"\work\test date sort.srex";"Model HTML";;;;;
ReportViewName;"\work\test date sort.srex";"Model Container";;;;;
ReportViewName;"\work\test date sort.srex";"Page Table";;;;;
ReportViewName;"\work\test date sort.srex";"Chart JS";;;;;
ReportViewName;"\work\test date sort.srex";"Chart NVD3";;;;;
ReportViewName;"\work\test date sort.srex";"Chart Plotly";;;;;
ReportViewName;"\work\test date sort.srex";"Data Table";;;;;
ReportViewName;"\work\test date sort.srex";"CSV";;;;;
ReportViewName;"\work\test date sort.srex";"Model CSV Excel";;;;;
ReportDisplayName;"\work\test Excel.srex";"test Excel";;;;;
ReportViewName;"\work\test Excel.srex";"view";;;;;
ReportViewName;"\work\test Excel.srex";"Model HTML View";;;;;
ReportViewName;"\work\test Excel.srex";"Model Container";;;;;
ReportViewName;"\work\test Excel.srex";"Page Table";;;;;
